id,country_id,chistians,muslims,unaffiliated,hindus,buddhists,folkReligions,other,jews
107,600,6250000,5000,70000,5000,5000,110000,10000,5000
108,604,27780000,5000,860000,5000,50000,290000,90000,5000
109,608,86370000,5150000,90000,5000,80000,1430000,130000,5000
110,616,36100000,5000,2150000,5000,5000,5000,5000,10000
111,620,9810000,30000,800000,5000,20000,10000,5000,5000
112,634,240000,1190000,20000,240000,50000,5000,10000,5000
113,180,3470000,50000,360000,5000,5000,110000,40000,5000
114,642,21380000,70000,20000,5000,5000,5000,5000,5000
115,643,104750000,14290000,23180000,30000,170000,310000,5000,230000
116,646,9920000,190000,380000,5000,5000,100000,20000,5000
117,682,1200000,25520000,180000,310000,90000,70000,70000,5000
118,686,450000,11980000,5000,5000,5000,5000,5000,5000
119,688,7490000,330000,260000,5000,5000,5000,5000,5000
120,694,1230000,4580000,5000,5000,5000,50000,5000,5000
121,702,920000,730000,830000,260000,1730000,120000,490000,5000
122,703,4660000,5000,780000,5000,5000,5000,5000,5000
123,705,1590000,70000,370000,5000,5000,5000,5000,5000
124,706,5000,9310000,5000,5000,5000,5000,5000,5000
125,710,40710000,860000,7450000,570000,100000,210000,170000,70000
126,410,14170000,100000,22340000,5000,11050000,400000,110000,5000
127,728,6010000,610000,50000,5000,5000,3270000,5000,5000
128,724,36240000,980000,8740000,20000,5000,20000,10000,60000
129,144,1530000,2040000,5000,2830000,14450000,5000,5000,5000
130,729,1810000,30490000,350000,5000,5000,950000,5000,5000
131,752,6310000,430000,2540000,20000,40000,20000,20000,10000
132,756,5570000,380000,1600000,40000,40000,5000,10000,20000
133,760,1060000,18930000,420000,5000,5000,5000,5000,5000
134,158,1280000,10000,2950000,5000,4950000,10260000,3760000,5000
135,762,110000,6650000,100000,5000,5000,5000,5000,5000
136,834,27540000,15770000,650000,50000,5000,800000,30000,5000
137,764,600000,3770000,190000,70000,64420000,60000,5000,5000
138,768,2640000,840000,370000,5000,5000,2150000,30000,5000
139,11,880000,80000,30000,300000,5000,30000,20000,5000
140,788,20000,10430000,20000,5000,5000,5000,5000,5000
141,792,320000,71330000,860000,5000,40000,20000,150000,20000
142,795,320000,4690000,30000,5000,5000,5000,5000,5000
143,800,28980000,3840000,170000,100000,5000,290000,40000,5000
144,804,38100000,560000,6690000,10000,20000,5000,5000,50000
145,784,940000,5780000,90000,490000,150000,5000,60000,5000
146,826,39890000,2960000,17220000,890000,280000,60000,460000,290000
147,840,243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000
148,858,1950000,5000,1370000,5000,5000,30000,5000,5000
149,860,630000,26550000,220000,5000,10000,10000,5000,10000
150,862,25890000,90000,2900000,5000,5000,60000,20000,5000
151,704,7170000,160000,26040000,5000,14380000,39750000,350000,5000
152,887,40000,23830000,20000,150000,5000,5000,5000,5000
153,894,12770000,70000,70000,10000,5000,40000,120000,5000
154,716,10930000,110000,990000,5000,5000,480000,40000,10000
