id,country_id,age,birth,life_exp,obesity,school_years,divorce
113,620,44.6,8.02,81.29,20.8,9.2,2.1
114,634,33.7,9.38,79.58,35.1,9.8,0.4
115,642,42.5,8.39,76.3,22.5,11,1.6
116,643,40.3,9.71,72.16,23.1,12,4.7
117,646,19.7,27.18,65.48,5.8,4.1,#N/A
118,682,30.8,14.56,76.4,35.4,9.5,#N/A
119,686,19.4,31.31,63.83,8.8,3,#N/A
120,688,43.4,8.74,76.56,21.5,11.1,1.3
121,694,19.1,35.04,60.19,8.7,3.5,#N/A
122,702,35.6,9.13,86.19,6.1,11.5,#N/A
123,703,41.8,9.1,78.07,20.5,12.5,#N/A
124,704,31.9,16.04,75.25,2.1,8.2,#N/A
125,705,44.9,8.5,81.61,20.2,12.2,1.2
126,706,18.5,38.25,55.32,8.3,#N/A,#N/A
127,710,28,18.89,65.04,28.3,10.1,#N/A
128,716,20.5,33.34,62.83,15.5,8.2,#N/A
129,724,43.9,8.05,82.21,23.8,9.8,2.1
130,728,18.6,38.26,58.6,6.6,4.8,#N/A
131,748,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
132,752,41.1,11.93,82.6,20.6,12.4,2.4
133,756,42.7,10.41,83.03,19.5,13.4,#N/A
134,760,23.5,23.25,74.01,27.8,5.1,#N/A
135,762,25.3,21.22,69.06,14.2,10.4,1
136,764,39,10.25,77.41,10,7.6,#N/A
137,768,20,32.34,70.99,8.4,4.8,#N/A
138,784,38.4,10.87,79.37,31.7,10.8,#N/A
139,788,32.7,15.21,76.57,26.9,7.2,#N/A
140,792,32.2,14.54,75.96,32.1,8,1.6
141,795,29.2,17.85,71.54,18.6,9.8,#N/A
142,800,15.7,41.6,68.58,5.3,6.1,#N/A
143,804,41.2,9.23,73.18,24.1,11.3,3.1
144,818,24.1,26.44,74.01,32,7.2,2.1
145,826,40.6,11.77,81.3,27.8,12.9,#N/A
146,834,18.2,33.71,69.9,8.4,5.8,#N/A
147,840,38.5,12.33,80.43,36.2,13.4,2.5
148,854,17.9,34.34,63.06,5.6,1.5,#N/A
149,858,35.5,12.75,78.19,27.9,8.7,#N/A
150,860,30.1,15.85,75.03,16.6,11.5,1
151,862,30,17.55,72.22,25.6,10.3,#N/A
152,887,19.8,25.21,67.18,17.1,3,#N/A
153,894,16.9,35.23,65.92,8.1,7,#N/A
