country_iso_code,happiness_index_2017,happiness_index_2018,happiness_index_2019,happiness_prediction_2020,prediction_percent_error,actual_values_2020
600,5.493000031,5.681,5.743,5.679000030999994,0.2301438289829301,5.692100048
604,5.715000153,5.663,5.697,5.817000152999983,0.34846838812070413,5.796800137
608,5.429999828,5.524,5.631,5.750999827999987,4.245757779167414,6.006000042
616,5.97300005,6.123,6.182,6.150000049999989,0.5867764603671891,6.186299801
620,5.195000172,5.41,5.693,6.0440001719999925,2.2517730529688564,5.910900116
642,5.824999809,5.945,6.07,6.199999808999988,1.2459732715630454,6.123700142
643,5.962999821,5.81,5.648,5.476999820999993,1.2441432194417845,5.546000004
646,3.470999956,3.408,3.334,3.2489999559999925,1.9110591320429007,3.312299967
682,6.343999863,6.371,6.375,6.3559998629999805,0.7882619383429009,6.406499863
686,4.534999847,4.631,4.681,4.684999846999986,5.938810953521942,4.980800152
688,5.394999981,5.398,5.603,6.009999980999987,4.0116268904251555,5.77820015
694,4.709000111,4.571,4.374,4.118000110999988,4.879792370493989,3.926399946
702,6.572000027,6.343,6.262,6.329000026999987,0.7542607779068274,6.377099991
703,6.09800005,6.173,6.198,6.1730000499999935,1.7132124284881372,6.280600071
704,5.073999882,5.103,5.175,5.28999988199999,1.186140063820403,5.353499889
705,5.757999897,5.948,6.118,6.2679998969999975,1.4991998816648062,6.363399982
710,4.828999996,4.724,4.722,4.822999995999988,0.18487790843729648,4.814099789
716,3.875,3.692,3.663,3.7879999999999905,14.815710881634287,3.299200058
724,6.402999878,6.31,6.354,6.534999877999995,2.0950177844891487,6.400899887
728,3.59100008,3.254,2.853,2.3880000799999954,15.216927899516621,2.816600084
752,7.28399992,7.314,7.343,7.370999919999975,0.23798233853451414,7.353499889
756,7.493999958,7.487,7.48,7.472999957999992,1.1494841362784203,7.559899807
762,5.040999889,5.199,5.467,5.84499988899999,5.207265927114594,5.555699825
764,6.423999786,6.072,6.008,6.231999785999994,3.887444034407015,5.998799801
768,3.494999886,3.999,4.085,3.7529998859999827,10.369702327209659,4.187200069
784,6.647999763,6.774,6.825,6.800999762999988,0.15019832504711417,6.790800095
788,4.804999828,4.592,4.461,4.4119998279999955,0.4507953879957867,4.392199993
792,5.5,5.483,5.373,5.169999999999989,0.7443747553944626,5.131800175
795,5.822000027,5.636,5.247,4.655000026999985,9.066047908380973,5.119100094
800,4.080999851,4.161,4.189,4.164999850999989,6.024374985582394,4.43200016
804,4.096000195,4.103,4.332,4.783000194999992,4.874257414970201,4.56069994
818,4.735000134,4.419,4.166,3.9760001339999924,4.22507952111786,4.151400089
826,6.714000225,7.19,7.054,6.306000224999985,11.98269221300907,7.164500237
834,3.348999977,3.303,3.231,3.1329999769999928,9.872853021467124,3.476200104
840,6.993000031,6.886,6.892,7.0110000309999805,1.0288783228511706,6.939599991
854,4.032000065,4.424,4.587,4.521000064999985,5.194288833666202,4.768700123
858,6.453999996,6.379,6.293,6.19599999599999,3.79031676037172,6.440100193
860,5.971000195,6.096,6.174,6.205000194999986,0.8405720631005666,6.257599831
862,5.25,4.806,4.707,4.952999999999989,1.9828974234214578,5.053199768
887,3.592999935,3.355,3.38,3.667999934999995,3.9859363078297294,3.527400017
894,4.513999939,4.377,4.107,3.7039999389999987,1.473638176471434,3.759399891
