country_name,n_ironhack_campuses,country_iso_code,gdp,taxes_per_gdp,area,coast_ratio,population,climate,min_drinking_age,internet_users_ratio,avg_chocolate_consumption,paid_leave,olympic_medals,median_age,birth_rate,life_expectancy,obesity_rate,years_in_school,christian,muslim,unaffiliated,hindu,buddhist,folk_religion,other_religion,jewish,happiness_index_2019,Af,Am,Aw,BSh,BSk,BWh,Cfa,Cfb,Csa,Csb,Cwa,Dfa,Dfb,Dfc,ET
Gabon,0,266,32050000000,17.6,267667,0.003306347,2284912,Aw,18,0.574990197,0.143584906,34,1,21.0,26.14,69.37,15.0,8.2,1150000,170000,80000,5000,5000,90000,5000,5000,4.799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,268,52330000000,28.7,69700,0.004447633,4933674,Dfb,18,0.638716299,0.859545455,39,40,38.6,11.26,77.25,21.7,12.8,3850000,470000,30000,5000,5000,5000,5000,5000,4.519,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Germany,1,276,4238800000000,45.0,357022,0.006691464,79903481,Dfb,16,0.903624875,2.281320755,30,892,47.8,8.63,81.3,22.3,14.1,56540000,4760000,20350000,80000,210000,40000,100000,230000,6.985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ghana,0,288,164840000000,20.3,238533,0.002259645,32372889,Aw,18,0.338553782,0.559811321,28,5,21.4,29.08,69.01,10.9,7.1,18260000,3860000,1020000,5000,5000,1200000,40000,5000,4.996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,300,292400000000,48.8,131957,0.103639822,10569703,Csa,18,0.73638597,1.326603774,29,121,45.3,7.72,81.28,24.9,10.8,10010000,610000,700000,20000,5000,10000,5000,5000,5.287,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Guatemala,0,320,141500000000,10.8,108889,0.003673466,17422821,Aw,18,0.618604014,0.334528302,25,1,23.2,22.79,72.63,21.2,6.5,13690000,5000,590000,5000,5000,80000,10000,5000,6.436,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,324,35080000000,16.6,245857,0.00130157,12877894,Aw,18,0.165708306,0.040754717,33,0,19.1,35.86,63.53,7.7,2.6,1090000,8430000,180000,5000,5000,270000,5000,5000,4.534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,332,31620000000,18.2,27750,0.06381982,11198240,Aw,0,0.31281755,0.300566038,27,2,24.1,21.4,65.61,22.7,5.3,8690000,5000,1060000,5000,5000,220000,30000,5000,3.597,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,340,50890000000,20.3,112090,0.00731555,9346277,Aw,18,0.305309269,0.261320755,19,0,24.4,18.19,74.9,21.4,6.5,6660000,10000,790000,5000,5000,80000,40000,5000,5.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,348,302320000000,44.5,93028,0.0,9728337,Dfb,18,0.768313536,1.756415094,33,518,43.6,8.72,76.95,26.4,11.9,8090000,5000,1860000,5000,5000,5000,5000,10000,5.758,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Iceland,0,352,19160000000,42.4,103000,0.048252427,354234,ET,20,0.960147812,3.464528302,36,4,37.1,13.12,83.45,21.9,12.4,300000,5000,10000,5000,5000,5000,5000,5000,7.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
India,0,356,8443360000000,9.2,3287263,0.002129431,1339330514,BSh,18,0.333569139,0.010566038,27,35,28.7,17.53,70.03,3.9,6.4,31130000,176200000,870000,973750000,9250000,5850000,27560000,10000,4.015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,360,3130470000000,13.0,1904569,0.02872881,275122131,Af,21,0.380060694,0.384339623,27,37,31.1,15.59,72.82,6.9,8.0,23660000,209120000,240000,4050000,1720000,750000,340000,5000,5.192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0,364,1044310000000,17.3,1648195,0.001480407,85888910,Csa,-1,0.676656882,0.105471698,53,76,31.7,15.78,75.06,25.8,9.8,110000,73570000,110000,20000,5000,5000,150000,5000,4.548,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Iraq,0,368,372270000000,35.7,438317,0.000132324,39650145,BWh,-1,0.463160727,0.13245283,20,1,21.2,25.21,72.9,30.4,6.8,270000,31340000,40000,5000,5000,5000,20000,5000,4.437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ireland,0,372,447970000000,26.0,70273,0.020605353,5224884,Cfb,18,0.819829876,1.358301887,29,35,37.8,12.6,81.45,25.3,12.5,4110000,50000,280000,10000,5000,5000,5000,5000,7.021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Israel,0,376,353390000000,26.5,21937,0.012444728,8787045,Csa,18,0.782178423,1.890943396,21,13,30.4,17.52,83.15,26.1,13.0,150000,1380000,230000,5000,20000,20000,5000,5610000,7.139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Italy,0,380,2322140000000,46.6,301340,0.025220681,62390364,Cfa,18,0.742186742,1.077358491,32,742,46.5,8.37,82.67,19.9,10.2,50440000,2220000,7500000,90000,110000,80000,60000,50000,6.223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ivory Coast,0,384,136480000000,19.1,322463,0.001597082,28088455,Aw,18,0.437731588,1.423396226,34,4,20.3,28.67,61.8,10.3,5.2,8710000,7390000,1570000,5000,5000,2020000,30000,5000,4.944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,388,25890000000,29.7,10991,0.09298517,2816602,Am,18,0.54981783,0.623018868,10,87,29.4,16.03,75.49,24.7,9.8,2120000,5000,470000,5000,5000,120000,30000,5000,5.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,392,5224850000000,35.2,377915,0.078724052,124687293,Cfa,20,0.855946428,0.822264151,10,555,48.6,7.0,84.65,4.3,12.8,2030000,200000,72120000,30000,45820000,450000,5890000,5000,5.886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jordan,0,400,100160000000,23.6,89342,0.000291017,10909567,Csa,18,0.640279674,0.419433962,24,3,23.5,22.79,75.75,35.5,10.4,130000,6010000,5000,5000,20000,5000,5000,5000,4.906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kazakhstan,0,398,475180000000,22.3,2724900,0.0,19245793,Dfb,21,0.768450954,1.122272727,40,80,31.6,15.87,72.25,21.0,11.8,3970000,11290000,670000,5000,40000,50000,20000,5000,5.809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kenya,0,404,226940000000,17.6,580367,0.000923554,54685051,Aw,18,0.166942205,0.068490566,28,113,20.0,26.78,69.32,7.1,6.5,34340000,3920000,1000000,60000,5000,690000,500000,5000,4.509,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,414,209740000000,41.8,17818,0.028005388,3032065,BWh,-1,0.958027285,1.554339623,48,3,29.7,17.9,78.9,37.9,7.3,390000,2030000,5000,230000,80000,5000,5000,5000,6.021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,417,31020000000,28.7,199951,0.0,6018789,Dfb,18,0.369298874,0.724545455,20,7,27.3,20.06,72.07,16.6,10.9,610000,4690000,20000,5000,5000,5000,5000,5000,5.261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Latvia,0,428,56920000000,37.5,64589,0.008221214,1862687,Dfb,18,0.863113878,1.731363636,32,30,44.4,8.96,75.65,23.6,12.8,1260000,5000,990000,5000,5000,5000,5000,5000,5.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lebanon,0,422,79510000000,21.5,10400,0.021634615,5261372,Csa,18,0.906424978,1.027924528,37,4,33.7,13.35,78.53,32.0,8.7,1620000,2590000,10000,5000,5000,5000,5000,5000,5.197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lesotho,0,426,4880000000,39.7,30355,0.0,2177740,Cfb,18,0.26133239,0.01490566,22,0,24.7,23.3,58.9,16.6,6.3,2100000,5000,70000,5000,5000,5000,5000,5000,3.802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Liberia,0,430,6850000000,16.9,111369,0.005198933,5214030,Am,18,0.073612733,0.055283019,21,0,18.0,36.96,65.1,9.9,4.7,3430000,480000,60000,5000,5000,20000,5000,5000,3.975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,440,102660000000,33.7,65300,0.001378254,2711566,Dfb,18,0.821225078,0.079545455,34,26,44.5,9.42,75.61,26.3,13.0,2980000,5000,330000,5000,5000,5000,5000,5000,6.149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luxembourg,0,442,69720000000,44.4,2586,0.0,639589,Cfb,16,0.919270031,1.74974359,0,4,39.5,11.62,82.78,22.6,12.1,360000,10000,140000,5000,5000,5000,5000,5000,7.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Madagascar,0,450,41820000000,15.9,587041,0.008224298,27534354,Aw,18,0.091412858,0.050943396,35,0,20.3,29.22,67.86,5.3,6.1,17680000,620000,1440000,10000,5000,940000,20000,5000,3.933,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,454,28440000000,21.7,118484,0.0,20308502,Aw,18,0.134638439,0.009433962,18,0,16.8,28.59,72.16,5.8,4.5,12320000,1930000,370000,5000,5000,260000,5000,5000,3.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,458,855600000000,16.4,329847,0.014173238,33519406,Af,21,0.770581794,0.293773585,19,13,29.2,14.72,75.87,15.6,10.2,2670000,18100000,190000,1720000,5010000,650000,60000,5000,5.339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,466,44890000000,20.0,1240192,0.0,20137527,Aw,0,0.118976178,0.005471698,22,0,16.0,41.6,62.01,8.6,2.3,370000,14510000,70000,5000,5000,410000,5000,5000,4.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,470,20600000000,40.4,316,0.62278481,460891,Csa,17,0.793074718,1.853207547,40,0,42.3,9.84,83.0,28.9,11.3,400000,5000,10000,5000,5000,5000,5000,5000,6.726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mauritania,0,478,23170000000,27.4,1030700,0.000731542,4079284,BWh,-1,0.195820884,0.025283019,22,0,21.0,28.49,64.86,12.7,4.5,5000,3430000,5000,5000,5000,20000,5000,5000,4.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mauritius,0,480,24640000000,22.5,2040,0.086764706,1386129,Am,18,0.5767645,0.370754717,38,1,36.3,12.44,76.7,10.8,9.3,420000,220000,5000,630000,5000,5000,5000,5000,5.888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1,484,2306320000000,22.7,1964375,0.004749602,130207371,BSh,18,0.636241776,0.50754717,13,73,29.3,17.29,76.94,28.9,8.6,107910000,5000,5330000,5000,5000,70000,20000,70000,6.595,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,498,32260000000,30.2,33851,0.0,3323875,Dfb,18,0.787271483,0.674090909,20,6,37.7,10.45,72.16,18.9,11.6,3480000,20000,50000,5000,5000,5000,5000,20000,5.529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mongolia,0,496,37600000000,26.6,1564116,0.0,3198913,BSk,21,0.230022823,0.32490566,15,30,29.8,16.32,71.08,20.6,10.1,60000,90000,990000,5000,1520000,100000,5000,5000,5.285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Montenegro,0,499,11360000000,37.2,13812,0.014407761,607414,Dfb,18,0.723248065,4.1825,21,1,39.6,11.35,77.51,23.3,11.3,490000,120000,20000,5000,5000,5000,5000,5000,5.523,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Morocco,0,504,259420000000,20.9,716550,0.002560882,36561813,Csa,16,0.618041808,0.139433962,25,24,29.1,17.58,73.56,26.1,5.5,20000,31930000,5000,5000,5000,5000,5000,5000,5.208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mozambique,0,508,38420000000,26.7,799380,0.003089895,30888034,Aw,18,0.092452307,0.023962264,19,2,17.0,38.03,56.49,7.2,3.5,13260000,4200000,4200000,5000,5000,1720000,5000,5000,4.466,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,516,22600000000,32.2,824292,0.001907091,2678191,BSh,18,0.482394273,0.258867925,20,5,21.8,25.33,65.87,17.2,6.8,2230000,5000,40000,5000,5000,5000,5000,5000,4.639,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,524,110720000000,23.8,147181,0.0,30424878,Cwa,18,0.332095991,0.007358491,28,0,25.3,17.78,72.12,4.1,4.9,140000,1370000,80000,24170000,3080000,1100000,20000,5000,4.913,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Netherlands,1,528,945480000000,43.4,41543,0.010856221,17337403,Cfb,18,0.936929712,0.019056604,28,451,42.8,10.98,81.95,20.4,12.2,8410000,1000000,6990000,80000,40000,30000,30000,30000,7.488,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
New Zealand,0,554,215600000000,36.8,268838,0.056294125,4991442,Cfb,18,0.869622846,1.552830189,31,140,37.2,12.83,82.33,30.8,12.5,2490000,50000,1600000,90000,70000,20000,30000,5000,7.307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nicaragua,0,558,34980000000,28.0,130370,0.006980133,6243931,Aw,18,0.271518055,0.234339623,20,0,27.3,16.71,74.51,23.7,6.7,4970000,5000,730000,5000,5000,80000,5000,5000,6.105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,562,28970000000,21.4,1267000,0.0,23605767,BWh,18,0.047055366,0.001886792,34,2,14.8,47.28,59.7,5.5,2.0,120000,15270000,110000,5000,5000,5000,5000,5000,4.628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nigeria,0,566,1013530000000,3.4,923768,0.000923392,219463862,Aw,18,0.38935819,0.053584906,5,27,18.6,34.38,60.87,8.9,6.2,78050000,77300000,680000,5000,10000,2290000,90000,5000,5.265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,578,342060000000,54.4,323802,0.077664746,5509591,Dfc,18,0.940836988,2.419622642,35,528,39.5,12.09,82.35,23.1,12.6,4140000,180000,490000,20000,30000,5000,10000,5000,7.554,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pakistan,0,586,1021130000000,15.4,796095,0.001313914,238181034,BWh,-1,0.145833144,0.007924528,29,10,22.0,26.95,69.37,8.6,5.2,2750000,167410000,20000,3330000,20000,30000,20000,5000,5.653,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Panama,0,591,109520000000,20.1,75420,0.033015115,3928646,Am,18,0.559845046,0.632641509,40,3,30.1,16.67,79.47,22.7,10.2,3270000,30000,170000,5000,5000,20000,20000,10000,6.321,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,600,87980000000,14.2,406752,0.0,7272639,Cfa,20,0.627838533,0.223962264,22,1,29.7,16.43,78.13,20.3,8.4,6250000,5000,70000,5000,5000,110000,10000,5000,5.743,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peru,0,604,371290000000,27.1,1285216,0.001878283,32201224,Cfb,18,0.511205009,0.546603774,34,4,29.1,16.67,74.96,19.7,9.2,27780000,5000,860000,5000,50000,290000,90000,5000,5.697,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Philippines,0,608,871560000000,15.6,300000,0.120963333,110818325,Af,18,0.573812815,0.337924528,17,14,24.1,22.66,70.32,6.4,9.3,86370000,5150000,90000,5000,80000,1430000,130000,5000,5.631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
