name,,slug,value,date_of_information,ranking,region
Mongolia,496,mongolia,16.32,2021 est.,103,East Asia/Southeast Asia
Brunei,#N/A,brunei,16.3,2021 est.,104,East Asia/Southeast Asia
Bhutan,64,bhutan,16.17,2021 est.,105,South Asia
Vietnam,704,vietnam,16.04,2021 est.,106,East Asia/Southeast Asia
Jamaica,388,jamaica,16.03,2021 est.,107,Central America
Kazakhstan,398,kazakhstan,15.87,2021 est.,108,Central Asia
Uzbekistan,860,uzbekistan,15.85,2021 est.,109,Central Asia
Argentina,32,argentina,15.8,2021 est.,110,South America
Iran,364,iran,15.78,2021 est.,111,Middle East
Maldives,#N/A,maldives,15.69,2021 est.,112,South Asia
Indonesia,360,indonesia,15.59,2021 est.,113,East Asia/Southeast Asia
Northern Mariana Islands,#N/A,northern-mariana-islands,15.31,2021 est.,114,Australia - Oceania
Antigua and Barbuda,#N/A,antigua-and-barbuda,15.3,2021 est.,115,Central America
Tunisia,788,tunisia,15.21,2021 est.,116,Africa
Kosovo,383,kosovo,15.05,2021 est.,117,Europe
Faroe Islands,#N/A,faroe-islands,14.92,2021 est.,118,Europe
"Bahamas, The",#N/A,bahamas-the,14.78,2021 est.,119,Central America
Malaysia,458,malaysia,14.72,2021 est.,120,East Asia/Southeast Asia
Suriname,#N/A,suriname,14.7,2021 est.,121,South America
Saudi Arabia,682,saudi-arabia,14.56,2021 est.,122,Middle East
Turkey,792,turkey,14.54,2021 est.,123,Middle East
Costa Rica,188,costa-rica,14.53,2021 est.,124,Central America
"Korea, North",#N/A,korea-north,14.35,2021 est.,125,East Asia/Southeast Asia
New Caledonia,#N/A,new-caledonia,14.28,2021 est.,126,Australia - Oceania
Grenada,#N/A,grenada,14.27,2021 est.,127,Central America
Saint Martin,#N/A,saint-martin,14.2,2021 est.,128,Central America
Dominica,#N/A,dominica,14.16,2021 est.,129,Central America
Azerbaijan,31,azerbaijan,14.03,2021 est.,130,Middle East
Sri Lanka,144,sri-lanka,14.01,2021 est.,131,South Asia
Gibraltar,#N/A,gibraltar,13.99,2021 est.,132,Europe
Greenland,#N/A,greenland,13.88,2021 est.,133,North America
Turks and Caicos Islands,#N/A,turks-and-caicos-islands,13.86,2021 est.,134,Central America
French Polynesia,#N/A,french-polynesia,13.69,2021 est.,135,Australia - Oceania
Brazil,76,brazil,13.44,2021 est.,136,South America
Lebanon,422,lebanon,13.35,2021 est.,137,Middle East
Curacao,#N/A,curacao,13.29,2021 est.,138,Central America
Iceland,352,iceland,13.12,2021 est.,139,Europe
Chile,152,chile,12.92,2021 est.,140,South America
Albania,8,albania,12.86,2021 est.,141,Europe
Cook Islands,#N/A,cook-islands,12.85,2021 est.,142,Australia - Oceania
New Zealand,554,new-zealand,12.83,2021 est.,143,Australia - Oceania
Sint Maarten,#N/A,sint-maarten,12.75,2021 est.,144,Central America
Uruguay,858,uruguay,12.75,2021 est.,145,South America
Seychelles,#N/A,seychelles,12.63,2021 est.,146,Africa
Ireland,372,ireland,12.6,2021 est.,147,Europe
Bahrain,48,bahrain,12.5,2021 est.,148,Middle East
Wallis and Futuna,#N/A,wallis-and-futuna,12.49,2021 est.,149,Australia - Oceania
Jersey,#N/A,jersey,12.46,2021 est.,150,Europe
Mauritius,480,mauritius,12.44,2021 est.,151,Africa
Saint Vincent and the Grenadines,#N/A,saint-vincent-and-the-grenadines,12.44,2021 est.,152,Central America
Saint Kitts and Nevis,#N/A,saint-kitts-and-nevis,12.43,2021 est.,153,Central America
Australia,36,australia,12.35,2021 est.,154,Australia - Oceania
United States,840,united-states,12.33,2021 est.,155,North America
Saint Lucia,#N/A,saint-lucia,12.27,2021 est.,156,Central America
