name,,slug,value,date_of_information,ranking,region
Namibia,516,namibia,17.2,2016,119,Africa
Yemen,887,yemen,17.1,2016,120,Middle East
Kyrgyzstan,417,kyrgyzstan,16.6,2016,121,Central Asia
Lesotho,426,lesotho,16.6,2016,122,Africa
Uzbekistan,860,uzbekistan,16.6,2016,123,Central Asia
Eswatini,#N/A,eswatini,16.5,2016,124,Africa
Malaysia,458,malaysia,15.6,2016,125,East Asia/Southeast Asia
Zimbabwe,716,zimbabwe,15.5,2016,126,Africa
Gabon,266,gabon,15,2016,127,Africa
Tajikistan,762,tajikistan,14.2,2016,128,Central Asia
Brunei,#N/A,brunei,14.1,2016,129,East Asia/Southeast Asia
Seychelles,#N/A,seychelles,14,2016,130,Africa
Djibouti,#N/A,djibouti,13.5,2016,131,Africa
Mauritania,478,mauritania,12.7,2016,132,Africa
Sao Tome and Principe,#N/A,sao-tome-and-principe,12.4,2016,133,Africa
Cabo Verde,#N/A,cabo-verde,11.8,2016,134,Africa
Cameroon,120,cameroon,11.4,2016,135,Africa
Ghana,288,ghana,10.9,2016,136,Africa
Mauritius,480,mauritius,10.8,2016,137,Africa
Cote d'Ivoire,384,cote-divoire,10.3,2016,138,Africa
"Gambia, The",270,gambia-the,10.3,2016,139,Africa
Thailand,764,thailand,10,2016,140,East Asia/Southeast Asia
Liberia,430,liberia,9.9,2016,141,Africa
Benin,204,benin,9.6,2016,142,Africa
"Congo, Republic of the",180,congo-republic-of-the,9.6,2016,143,Africa
Guinea-Bissau,#N/A,guinea-bissau,9.5,2016,144,Africa
Nigeria,566,nigeria,8.9,2016,145,Africa
Senegal,686,senegal,8.8,2016,146,Africa
Sierra Leone,694,sierra-leone,8.7,2016,147,Africa
Maldives,#N/A,maldives,8.6,2016,148,South Asia
Mali,466,mali,8.6,2016,149,Africa
Pakistan,586,pakistan,8.6,2016,150,South Asia
Tanzania,834,tanzania,8.4,2016,151,Africa
Togo,768,togo,8.4,2016,152,Africa
Somalia,706,somalia,8.3,2016,153,Africa
Angola,24,angola,8.2,2016,154,Africa
Zambia,894,zambia,8.1,2016,155,Africa
Equatorial Guinea,#N/A,equatorial-guinea,8,2016,156,Africa
Comoros,174,comoros,7.8,2016,157,Africa
Guinea,324,guinea,7.7,2016,158,Africa
Central African Republic,140,central-african-republic,7.5,2016,159,Africa
Mozambique,508,mozambique,7.2,2016,160,Africa
Kenya,404,kenya,7.1,2016,161,Africa
Indonesia,360,indonesia,6.9,2016,162,East Asia/Southeast Asia
"Korea, North",#N/A,korea-north,6.8,2016,163,East Asia/Southeast Asia
"Congo, Democratic Republic of the",178,congo-democratic-republic-of-the,6.7,2016,164,Africa
South Sudan,728,south-sudan,6.6,2014,165,Africa
Sudan,729,sudan,6.6,2014,166,Africa
Bhutan,64,bhutan,6.4,2016,167,South Asia
Philippines,608,philippines,6.4,2016,168,East Asia/Southeast Asia
China,156,china,6.2,2016,169,East Asia/Southeast Asia
Chad,148,chad,6.1,2016,170,Africa
Singapore,702,singapore,6.1,2016,171,East Asia/Southeast Asia
Burma,#N/A,burma,5.8,2016,172,East Asia/Southeast Asia
Malawi,454,malawi,5.8,2016,173,Africa
Rwanda,646,rwanda,5.8,2016,174,Africa
Burkina Faso,854,burkina-faso,5.6,2016,175,Africa
Afghanistan,4,afghanistan,5.5,2016,176,South Asia
Niger,562,niger,5.5,2016,177,Africa
Burundi,108,burundi,5.4,2016,178,Africa
Laos,#N/A,laos,5.3,2016,179,East Asia/Southeast Asia
Madagascar,450,madagascar,5.3,2016,180,Africa
Uganda,800,uganda,5.3,2016,181,Africa
Sri Lanka,144,sri-lanka,5.2,2016,182,South Asia
Eritrea,#N/A,eritrea,5,2016,183,Africa
"Korea, South",410,korea-south,4.7,2016,184,East Asia/Southeast Asia
Ethiopia,231,ethiopia,4.5,2016,185,Africa
Japan,392,japan,4.3,2016,186,East Asia/Southeast Asia
Nepal,524,nepal,4.1,2016,187,South Asia
Cambodia,116,cambodia,3.9,2016,188,East Asia/Southeast Asia
India,356,india,3.9,2016,189,South Asia
Timor-Leste,#N/A,timor-leste,3.8,2016,190,East Asia/Southeast Asia
Bangladesh,50,bangladesh,3.6,2016,191,South Asia
Vietnam,704,vietnam,2.1,2016,192,East Asia/Southeast Asia
