name,slug,value,date_of_information,ranking,region
"Luxembourg","luxembourg","7.26","2021 est.","107","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","7.24","2021 est.","108","Central America"
"Mauritius","mauritius","7.23","2021 est.","109","Africa"
"Djibouti","djibouti","7.17","2021 est.","110","Africa"
"Equatorial Guinea","equatorial-guinea","7.16","2021 est.","111","Africa"
"Cambodia","cambodia","7.15","2021 est.","112","East Asia/Southeast Asia"
"Burma","burma","7.14","2021 est.","113","East Asia/Southeast Asia"
"Venezuela","venezuela","7.13","2021 est.","114","South America"
"Laos","laos","7.12","2021 est.","115","East Asia/Southeast Asia"
"India","india","7.10","2021 est.","116","South Asia"
"Namibia","namibia","7.07","2021 est.","117","Africa"
"Korea, South","korea-south","6.96","2021 est.","118","East Asia/Southeast Asia"
"Kiribati","kiribati","6.94","2021 est.","119","Australia - Oceania"
"Azerbaijan","azerbaijan","6.93","2021 est.","120","Middle East"
"Kosovo","kosovo","6.91","2021 est.","121","Europe"
"New Zealand","new-zealand","6.91","2021 est.","122","Australia - Oceania"
"Cyprus","cyprus","6.90","2021 est.","123","Europe"
"Guyana","guyana","6.87","2021 est.","124","South America"
"Seychelles","seychelles","6.83","2021 est.","125","Africa"
"Brazil","brazil","6.80","2021 est.","126","South America"
"Eritrea","eritrea","6.79","2021 est.","127","Africa"
"Australia","australia","6.78","2021 est.","128","Australia - Oceania"
"Liberia","liberia","6.78","2021 est.","129","Africa"
"Indonesia","indonesia","6.74","2021 est.","130","East Asia/Southeast Asia"
"Ireland","ireland","6.72","2021 est.","131","Europe"
"Gambia, The","gambia-the","6.66","2021 est.","132","Africa"
"Comoros","comoros","6.61","2021 est.","133","Africa"
"Iceland","iceland","6.56","2021 est.","134","Europe"
"Morocco","morocco","6.53","2021 est.","135","Africa"
"Chile","chile","6.47","2021 est.","136","South America"
"Sri Lanka","sri-lanka","6.45","2021 est.","137","South Asia"
"Sudan","sudan","6.41","2021 est.","138","Africa"
"Tunisia","tunisia","6.35","2021 est.","139","Africa"
"Bahamas, The","bahamas-the","6.34","2021 est.","140","Central America"
"Sao Tome and Principe","sao-tome-and-principe","6.33","2021 est.","141","Africa"
"Fiji","fiji","6.31","2021 est.","142","Australia - Oceania"
"Ghana","ghana","6.30","2021 est.","143","Africa"
"Dominican Republic","dominican-republic","6.29","2021 est.","144","Central America"
"Bhutan","bhutan","6.28","2021 est.","145","South Asia"
"Mongolia","mongolia","6.28","2021 est.","146","East Asia/Southeast Asia"
"Bolivia","bolivia","6.26","2021 est.","147","South America"
"Nauru","nauru","6.24","2021 est.","148","Australia - Oceania"
"Zambia","zambia","6.24","2021 est.","149","Africa"
"Kyrgyzstan","kyrgyzstan","6.18","2021 est.","150","Central Asia"
"Pakistan","pakistan","6.10","2021 est.","151","South Asia"
"Suriname","suriname","6.10","2021 est.","152","South America"
"Madagascar","madagascar","6.09","2021 est.","153","Africa"
"Peru","peru","6.09","2021 est.","154","South America"
"Burundi","burundi","6.07","2021 est.","155","Africa"
"Turkey","turkey","6.02","2021 est.","156","Middle East"
"American Samoa","american-samoa","6.00","2021 est.","157","Australia - Oceania"
"Guam","guam","5.99","2021 est.","158","Australia - Oceania"
"Philippines","philippines","5.99","2021 est.","159","East Asia/Southeast Asia"
"Papua New Guinea","papua-new-guinea","5.97","2021 est.","160","East Asia/Southeast Asia"
"Rwanda","rwanda","5.95","2021 est.","161","Africa"
"Turkmenistan","turkmenistan","5.95","2021 est.","162","Central Asia"
"Montserrat","montserrat","5.94","2021 est.","163","Central America"
"El Salvador","el-salvador","5.91","2021 est.","164","Central America"
"Sint Maarten","sint-maarten","5.90","2021 est.","165","Central America"
"Cayman Islands","cayman-islands","5.89","2021 est.","166","Central America"
"Cabo Verde","cabo-verde","5.84","2021 est.","167","Africa"
"New Caledonia","new-caledonia","5.84","2021 est.","168","Australia - Oceania"
"Ethiopia","ethiopia","5.80","2021 est.","169","Africa"
"Tajikistan","tajikistan","5.78","2021 est.","170","Central Asia"
"Vietnam","vietnam","5.78","2021 est.","171","East Asia/Southeast Asia"
"Gabon","gabon","5.76","2021 est.","172","Africa"
"Wallis and Futuna","wallis-and-futuna","5.74","2021 est.","173","Australia - Oceania"
"Yemen","yemen","5.69","2021 est.","174","Middle East"
"Timor-Leste","timor-leste","5.67","2021 est.","175","East Asia/Southeast Asia"
"Malaysia","malaysia","5.66","2021 est.","176","East Asia/Southeast Asia"
"Antigua and Barbuda","antigua-and-barbuda","5.63","2021 est.","177","Central America"
"Lebanon","lebanon","5.57","2021 est.","178","Middle East"
"Nepal","nepal","5.57","2021 est.","179","South Asia"
"Colombia","colombia","5.53","2021 est.","180","South America"
"French Polynesia","french-polynesia","5.51","2021 est.","181","Australia - Oceania"
"Bangladesh","bangladesh","5.44","2021 est.","182","South Asia"
"Mexico","mexico","5.41","2021 est.","183","North America"
"Uzbekistan","uzbekistan","5.40","2021 est.","184","Central Asia"
"Togo","togo","5.39","2021 est.","185","Africa"
"Samoa","samoa","5.36","2021 est.","186","Australia - Oceania"
"British Virgin Islands","british-virgin-islands","5.30","2021 est.","187","Central America"
"Northern Mariana Islands","northern-mariana-islands","5.28","2021 est.","188","Australia - Oceania"
"Tanzania","tanzania","5.17","2021 est.","189","Africa"
"Uganda","uganda","5.17","2021 est.","190","Africa"
"Nicaragua","nicaragua","5.16","2021 est.","191","Central America"
"Ecuador","ecuador","5.15","2021 est.","192","South America"
"Iran","iran","5.14","2021 est.","193","Middle East"
"Kenya","kenya","5.09","2021 est.","194","Africa"
"Israel","israel","5.06","2021 est.","195","Middle East"
"Panama","panama","5.01","2021 est.","196","Central America"
"Tonga","tonga","4.95","2021 est.","197","Australia - Oceania"
"Guatemala","guatemala","4.94","2021 est.","198","Central America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","4.90","2012 est.","199","South America"
"Costa Rica","costa-rica","4.86","2021 est.","200","Central America"
"Paraguay","paraguay","4.84","2021 est.","201","South America"
"Honduras","honduras","4.67","2021 est.","202","Central America"
"Malawi","malawi","4.66","2021 est.","203","Africa"
"Macau","macau","4.64","2021 est.","204","East Asia/Southeast Asia"
"Anguilla","anguilla","4.62","2021 est.","205","Central America"
"Saint Martin","saint-martin","4.56","2021 est.","206","Central America"
"Egypt","egypt","4.36","2021 est.","207","Africa"
"Syria","syria","4.36","2021 est.","208","Middle East"
"Algeria","algeria","4.32","2021 est.","209","Africa"
"Marshall Islands","marshall-islands","4.25","2021 est.","210","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","4.18","2021 est.","211","Australia - Oceania"
"Maldives","maldives","4.12","2021 est.","212","South Asia"
"Belize","belize","3.99","2021 est.","213","Central America"
"Solomon Islands","solomon-islands","3.97","2021 est.","214","Australia - Oceania"
"Vanuatu","vanuatu","3.97","2021 est.","215","Australia - Oceania"
"Singapore","singapore","3.93","2021 est.","216","East Asia/Southeast Asia"
"Iraq","iraq","3.92","2021 est.","217","Middle East"
"Brunei","brunei","3.75","2021 est.","218","East Asia/Southeast Asia"
"Libya","libya","3.46","2021 est.","219","Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","3.46","2021 est.","220","Central America"
"Jordan","jordan","3.44","2021 est.","221","Middle East"
"West Bank","west-bank","3.43","2021 est.","222","Middle East"
"Saudi Arabia","saudi-arabia","3.39","2021 est.","223","Middle East"
"Oman","oman","3.25","2021 est.","224","Middle East"
"Gaza Strip","gaza-strip","2.94","2021 est.","225","Middle East"
"Bahrain","bahrain","2.81","2021 est.","226","Middle East"
"Kuwait","kuwait","2.23","2021 est.","227","Middle East"
"United Arab Emirates","united-arab-emirates","1.51","2021 est.","228","Middle East"
"Qatar","qatar","1.42","2021 est.","229","Middle East"
