name,,slug,value,date_of_information,ranking,region
Uruguay,858,uruguay,"2,300,557",,115,South America
Lithuania,440,lithuania,"2,226,806",,116,Europe
Kyrgyzstan,417,kyrgyzstan,"2,222,732",,117,Central Asia
Panama,591,panama,"2,199,433",,118,Central America
Albania,8,albania,"2,196,613",,119,Europe
El Salvador,222,el-salvador,"2,153,776",,120,Central America
Guinea,324,guinea,"2,133,974",,121,Africa
Armenia,51,armenia,"1,966,942",,122,Middle East
Tajikistan,762,tajikistan,"1,889,632",,123,Central Asia
Laos,#N/A,laos,"1,845,437",,124,East Asia/Southeast Asia
Kosovo,383,kosovo,"1,706,150",,125,Europe
Nicaragua,558,nicaragua,"1,695,340",,126,Central America
Slovenia,705,slovenia,"1,676,445",,128,Europe
Latvia,428,latvia,"1,607,711",,129,Europe
Jamaica,388,jamaica,"1,548,618",,130,Central America
Libya,434,libya,"1,440,859",,131,Africa
Bahrain,48,bahrain,"1,423,039",,132,Middle East
Gabon,266,gabon,"1,313,802",,133,Africa
Namibia,516,namibia,"1,291,944",,134,Africa
Turkmenistan,795,turkmenistan,"1,149,840",,135,Central Asia
Estonia,233,estonia,"1,111,896",,136,Europe
Niger,562,niger,"1,110,778",,137,Africa
Botswana,72,botswana,"1,057,079",,138,Africa
Cyprus,196,cyprus,"1,044,473",,139,Europe
Chad,148,chad,"1,029,153",,140,Africa
Togo,768,togo,"1,010,609",,141,Africa
Trinidad and Tobago,11,trinidad-and-tobago,"939,967",,142,Central America
South Sudan,728,south-sudan,"814,326",,143,Africa
Mauritius,480,mauritius,"799,470",,144,Africa
Mauritania,478,mauritania,"798,809",,145,Africa
Papua New Guinea,#N/A,papua-new-guinea,"787,764",,146,East Asia/Southeast Asia
Mongolia,496,mongolia,"735,823",,147,East Asia/Southeast Asia
Luxembourg,442,luxembourg,"587,955",,148,Europe
Lesotho,426,lesotho,"569,114",,149,Africa
Sierra Leone,694,sierra-leone,"568,099",,150,Africa
Eswatini,#N/A,eswatini,"510,984",,151,Africa
Macau,#N/A,macau,"508,052",,152,East Asia/Southeast Asia
Djibouti,#N/A,djibouti,"492,221",,153,Africa
Fiji,#N/A,fiji,"462,860",,154,Australia - Oceania
Montenegro,499,montenegro,"439,311",,155,Europe
"Congo, Republic of the",180,congo-republic-of-the,"437,865",,156,Africa
Brunei,#N/A,brunei,"426,234",,157,East Asia/Southeast Asia
"Gambia, The",270,gambia-the,"406,918",,158,Africa
Liberia,430,liberia,"383,819",,159,Africa
Bhutan,64,bhutan,"368,714",,160,South Asia
Malta,470,malta,"365,521",,161,Europe
Timor-Leste,#N/A,timor-leste,"363,398",,162,East Asia/Southeast Asia
Iceland,352,iceland,"340,117",,163,Europe
Cabo Verde,#N/A,cabo-verde,"330,623",,164,Africa
Burundi,108,burundi,"298,684",,165,Africa
Suriname,#N/A,suriname,"292,685",,166,South America
"Bahamas, The",#N/A,bahamas-the,"282,739",,167,Central America
Guyana,#N/A,guyana,"276,498",,168,South America
Central African Republic,140,central-african-republic,"249,336",,169,Africa
Maldives,#N/A,maldives,"248,004",,170,South Asia
Barbados,#N/A,barbados,"239,664",,171,Central America
New Caledonia,#N/A,new-caledonia,"231,887",,172,Australia - Oceania
Somalia,706,somalia,"225,181",,173,Africa
French Polynesia,#N/A,french-polynesia,"211,101",,174,Australia - Oceania
Equatorial Guinea,#N/A,equatorial-guinea,"209,253",,175,Africa
Belize,#N/A,belize,"181,660",,176,Central America
Guam,#N/A,guam,"135,073",,177,Australia - Oceania
Aruba,#N/A,aruba,"113,277",,178,Central America
Curacao,#N/A,curacao,"102,359",,179,Central America
Saint Lucia,#N/A,saint-lucia,"84,112",,180,Central America
Solomon Islands,#N/A,solomon-islands,"78,686",,181,Australia - Oceania
Andorra,#N/A,andorra,"78,483",,182,Europe
Eritrea,#N/A,eritrea,"78,215",,183,Africa
Vanuatu,#N/A,vanuatu,"74,083",,184,Australia - Oceania
Antigua and Barbuda,#N/A,antigua-and-barbuda,"72,870",,185,Central America
Guinea-Bissau,#N/A,guinea-bissau,"72,047",,186,Africa
Bermuda,#N/A,bermuda,"70,016",,187,North America
Comoros,174,comoros,"69,635",,188,Africa
Virgin Islands,#N/A,virgin-islands,"68,872",,189,Central America
Samoa,#N/A,samoa,"67,662",,190,Australia - Oceania
Grenada,#N/A,grenada,"66,281",,191,Central America
Sao Tome and Principe,#N/A,sao-tome-and-principe,"61,193",,192,Africa
Jersey,#N/A,jersey,"58,000", est.,193,Europe
Seychelles,#N/A,seychelles,"55,616",,194,Africa
Guernsey,#N/A,guernsey,"55,050", est.,195,Europe
Dominica,#N/A,dominica,"51,538",,196,Central America
Faroe Islands,#N/A,faroe-islands,"49,783",,197,Europe
Cayman Islands,#N/A,cayman-islands,"48,328",,198,Central America
Tonga,#N/A,tonga,"43,889",,199,Australia - Oceania
Saint Kitts and Nevis,#N/A,saint-kitts-and-nevis,"42,852",,200,Central America
Greenland,#N/A,greenland,"40,084",,201,North America
Liechtenstein,#N/A,liechtenstein,"37,815",,202,Europe
"Micronesia, Federated States of",#N/A,micronesia-federated-states-of,"36,586",,203,Australia - Oceania
Monaco,#N/A,monaco,"29,821",,204,Europe
Marshall Islands,#N/A,marshall-islands,"29,290",,205,Australia - Oceania
Gibraltar,#N/A,gibraltar,"27,823",,206,Europe
British Virgin Islands,#N/A,british-virgin-islands,"27,818",,207,Central America
Saint Vincent and the Grenadines,#N/A,saint-vincent-and-the-grenadines,"22,803",,208,Central America
