name,,slug,value,date_of_information,ranking,region
Saint Pierre and Miquelon,#N/A,saint-pierre-and-miquelon,26.8,1996 est.,104,North America
Mozambique,508,mozambique,26.7,2017 est.,105,Africa
Mongolia,496,mongolia,26.6,2017 est.,106,East Asia/Southeast Asia
South Africa,710,south-africa,26.6,2017 est.,107,Africa
Ukraine,804,ukraine,26.6,2017 est.,108,Europe
Colombia,170,colombia,26.5,2017 est.,109,South America
Israel,376,israel,26.5,2017 est.,110,Middle East
Maldives,#N/A,maldives,26.4,2016 est.,111,South Asia
Qatar,634,qatar,26.4,2017 est.,112,Middle East
Saudi Arabia,682,saudi-arabia,26.4,2017 est.,113,Middle East
Sao Tome and Principe,#N/A,sao-tome-and-principe,26.2,2017 est.,114,Africa
Ireland,372,ireland,26,2017 est.,115,Europe
Grenada,#N/A,grenada,25.8,2017 est.,116,Central America
Comoros,174,comoros,25.3,2017 est.,117,Africa
Aruba,#N/A,aruba,25.2,2017 est.,118,Central America
Vietnam,704,vietnam,24.8,2017 est.,119,East Asia/Southeast Asia
Tunisia,788,tunisia,24.7,2017 est.,120,Africa
Trinidad and Tobago,11,trinidad-and-tobago,24.5,2017 est.,121,Central America
Nepal,524,nepal,23.8,2017 est.,122,South Asia
El Salvador,222,el-salvador,23.7,2017 est.,123,Central America
Jordan,400,jordan,23.6,2017 est.,124,Middle East
Saint Lucia,#N/A,saint-lucia,23.6,2017 est.,125,Central America
Azerbaijan,31,azerbaijan,23.5,2017 est.,126,Middle East
Gibraltar,#N/A,gibraltar,23.3,2008 est.,127,Europe
Hong Kong,344,hong-kong,23.2,2017 est.,128,East Asia/Southeast Asia
"Korea, South",410,korea-south,23.2,2017 est.,129,East Asia/Southeast Asia
Armenia,51,armenia,22.9,2017 est.,130,Middle East
Mexico,484,mexico,22.7,2017 est.,131,North America
"Congo, Republic of the",178,congo-republic-of-the,22.5,2017 est.,132,Africa
Mauritius,480,mauritius,22.5,2017 est.,133,Africa
Kazakhstan,398,kazakhstan,22.3,2017 est.,134,Central Asia
Malawi,454,malawi,21.7,2017 est.,135,Africa
Lebanon,422,lebanon,21.5,2017 est.,136,Middle East
Togo,768,togo,21.5,2017 est.,137,Africa
Zimbabwe,716,zimbabwe,21.5,2017 est.,138,Africa
Guam,#N/A,guam,21.4,2016 est.,139,Australia - Oceania
Niger,562,niger,21.4,2017 est.,140,Africa
China,156,china,21.3,2017 est.,141,East Asia/Southeast Asia
Rwanda,646,rwanda,21.3,2017 est.,142,Africa
Burkina Faso,854,burkina-faso,21.2,2017 est.,143,Africa
Morocco,504,morocco,20.9,2017 est.,144,Africa
Chile,152,chile,20.8,2017 est.,145,South America
Guernsey,#N/A,guernsey,20.6,2005,146,Europe
New Caledonia,#N/A,new-caledonia,20.4,2015 est.,147,Australia - Oceania
"Gambia, The",270,gambia-the,20.3,2017 est.,148,Africa
Ghana,288,ghana,20.3,2017 est.,149,Africa
Honduras,340,honduras,20.3,2017 est.,150,Central America
Turkey,792,turkey,20.3,2017 est.,151,Middle East
Panama,591,panama,20.1,2017 est.,152,Central America
Mali,466,mali,20,2017 est.,153,Africa
Antigua and Barbuda,#N/A,antigua-and-barbuda,19.6,2017 est.,154,Central America
Senegal,686,senegal,19.6,2017 est.,155,Africa
Cote d'Ivoire,384,cote-divoire,19.1,2017 est.,156,Africa
Argentina,32,argentina,18.9,2017 est.,157,South America
Brunei,#N/A,brunei,18.5,2017 est.,158,East Asia/Southeast Asia
Sudan,729,sudan,18.5,2017 est.,159,Africa
Papua New Guinea,#N/A,papua-new-guinea,18.4,2017 est.,160,East Asia/Southeast Asia
Laos,#N/A,laos,18.3,2017 est.,161,East Asia/Southeast Asia
Guinea-Bissau,#N/A,guinea-bissau,18.2,2017 est.,162,Africa
Haiti,332,haiti,18.2,2017 est.,163,Central America
Cambodia,116,cambodia,17.9,2017 est.,164,East Asia/Southeast Asia
Egypt,818,egypt,17.9,2017 est.,165,Africa
"Bahamas, The",#N/A,bahamas-the,17.6,2017 est.,166,Central America
Gabon,266,gabon,17.6,2017 est.,167,Africa
Kenya,404,kenya,17.6,2017 est.,168,Africa
Zambia,894,zambia,17.4,2017 est.,169,Africa
Iran,364,iran,17.3,2017 est.,170,Middle East
Benin,204,benin,17.1,2017 est.,171,Africa
United States,840,united-states,17,2017 est.,172,North America
Equatorial Guinea,#N/A,equatorial-guinea,16.9,2017 est.,173,Africa
Liberia,430,liberia,16.9,2017 est.,174,Africa
Wallis and Futuna,#N/A,wallis-and-futuna,16.7,2015 est.,175,Australia - Oceania
Bahrain,48,bahrain,16.6,2017 est.,176,Middle East
Curacao,#N/A,curacao,16.6,2012 est.,177,Central America
Guinea,324,guinea,16.6,2017 est.,178,Africa
Jersey,#N/A,jersey,16.6,2005,179,Europe
Malaysia,458,malaysia,16.4,2017 est.,180,East Asia/Southeast Asia
Russia,643,russia,16.4,2017 est.,181,Central Asia
Suriname,#N/A,suriname,16.4,2017 est.,182,South America
Bermuda,#N/A,bermuda,16.3,2017 est.,183,North America
Taiwan,158,taiwan,16,2017 est.,184,East Asia/Southeast Asia
